date,value
1/1/06,15
2/1/06,15
3/1/06,17
4/1/06,16
5/1/06,15
6/1/06,20
7/1/06,20
8/1/06,26
9/1/06,26
10/1/06,26
11/1/06,26
12/1/06,27
1/1/07,
2/1/07,23
3/1/07,25
4/1/07,26
5/1/07,26
6/1/07,23
7/1/07,
8/1/07,28
9/1/07,36
10/1/07,34
11/1/07,33
12/1/07,38
1/1/08,42
2/1/08,49
3/1/08,65
4/1/08,71
5/1/08,63
6/1/08,61
7/1/08,63
8/1/08,63
9/1/08,60
10/1/08,89
11/1/08,96
12/1/08,100
1/1/09,98
2/1/09,
3/1/09,
4/1/09,
5/1/09,
6/1/09,
7/1/09,
8/1/09,
9/1/09,
10/1/09,
11/1/09,
12/1/09,
1/1/10,16
2/1/10,15
3/1/10,17
4/1/10,
5/1/10,
6/1/10,
7/1/10,20
8/1/10,19
9/1/10,22
10/1/10,20
11/1/10,16
12/1/10,15
1/1/11,12
2/1/11,12
3/1/11,14
4/1/11,15
5/1/11,15
6/1/11,16
7/1/11,17
8/1/11,29
9/1/11,33
10/1/11,31
11/1/11,24
12/1/11,23
1/1/12,19
2/1/12,16
3/1/12,16
4/1/12,16
5/1/12,16
6/1/12,19
7/1/12,21
8/1/12,22
9/1/12,22
10/1/12,22
11/1/12,21
12/1/12,24
1/1/13,19
2/1/13,17
3/1/13,15
4/1/13,15
5/1/13,15
6/1/13,15
7/1/13,13
8/1/13,15
9/1/13,12
10/1/13,16
11/1/13,13
12/1/13,12
1/1/14,11
2/1/14,12
3/1/14,12
4/1/14,12
5/1/14,12
6/1/14,11
7/1/14,12
8/1/14,12
9/1/14,12
10/1/14,12
11/1/14,12
12/1/14,11
1/1/15,12
2/1/15,11
3/1/15,11
4/1/15,11
5/1/15,12
6/1/15,10
7/1/15,10
8/1/15,10
9/1/15,10
10/1/15,15
11/1/15,14
12/1/15,15
1/1/16,17
2/1/16,21
3/1/16,20
4/1/16,19
5/1/16,20
6/1/16,21
7/1/16,22
8/1/16,21
9/1/16,20
10/1/16,20
11/1/16,19
12/1/16,17
1/1/17,16
2/1/17,15
3/1/17,14
4/1/17,16
5/1/17,15
6/1/17,16
7/1/17,15
8/1/17,15
9/1/17,16
10/1/17,16
11/1/17,15
12/1/17,14
1/1/18,13
2/1/18,14
3/1/18,14
4/1/18,15
5/1/18,15
6/1/18,16
7/1/18,18
8/1/18,18
9/1/18,18
10/1/18,18
11/1/18,20
12/1/18,22
1/1/19,25
2/1/19,25
3/1/19,25
4/1/19,26
5/1/19,23
6/1/19,30
7/1/19,30
8/1/19,34
9/1/19,35
10/1/19,34
11/1/19,30
12/1/19,26
1/1/20,24
2/1/20,26
3/1/20,49
4/1/20,96
5/1/20,95
6/1/20,74
7/1/20,54
8/1/20,37
9/1/20,37
10/1/20,32
11/1/20,27
12/1/20,24
1/1/21,21
2/1/21,18
3/1/21,12
