varname,fullname,hist_source,hist_source_key,hist_source_freq,hist_source_transform
t01m,1-Month Treasury Yield,fred,DGS1MO,d,none
t03m,3-Month Treasury Yield,fred,DGS3MO,d,none
t06m,6-Month Treasury Yield,fred,DGS6MO,d,none
t01y,1-Year Treasury Yield,fred,DGS1,d,none
t02y,2-Year Treasury Yield,fred,DGS2,d,none
t05y,5-Year Treasury Yield,fred,DGS5,d,none
t07y,7-Year Treasury Yield,fred,DGS7,d,none
t10y,10-Year Treasury Yield,fred,DGS10,d,none
t20y,20-Year Treasury Yield,fred,DGS20,d,none
t30y,30-Year Treasury Yield,fred,DGS30,d,none
ffr,Federal Funds Rate,fred,EFFR,d,none
sofr,Secured Overnight Financing Rate,fred,SOFR,d,none
bsby,BSBY Rate,bloom,BSBYON,d,none
bsby01m,1-Month BSBY Rate,bloom,BSBY1M,d,none
bsby03m,3-Month BSBY Rate,bloom,BSBY3M,d,none
bsby06m,6-Month BSBY Rate,bloom,BSBY6M,d,none
bsby01y,1-Year BSBY Rate,bloom,BSBY12M,d,none
ameribor,AMERIBOR Rate,afx,ON,d,none
ameribor01m,1-Month AMERIBOR Rate,afx,1M,d,none
ameribor03m,3-Month AMERIBOR Rate,afx,3M,d,none
ameribor06m,6-Month AMERIBOR Rate,afx,6M,d,none
ameribor01y,1-Year AMERIBOR Rate,afx,1Y,d,none
ameribor02y,2-Year AMERIBOR Rate,afx,2Y,d,none
mort30y,30-Year Mortgage Rate,fred,MORTGAGE30US,w,none
mort15y,15-Year Mortgage Rate,fred,MORTGAGE15US,w,none
mort05y,5-Year Adjustable-Rate Mortgage,fred,MORTGAGE5US,w,none
aaa,Aaa Corporate Bond Yield,fred,DAAA,d,none
baa,Baa Corporate Bond Yield,fred,DBAA,d,none
